Utg9648	CM046022.1	76.947	1297	232	43	3762904	3764159	69496	70766	0.0	676
Utg9648	CM046022.1	75.314	1272	255	43	3766601	3767839	72795	74040	4.94e-154	555
Utg9648	CM046022.1	91.071	56	5	0	3764332	3764387	70909	70964	4.69e-10	76.8
Utg9648	CM046021.1	83.117	154	20	6	3766906	3767056	30464	30314	7.63e-28	135
Utg9662	CM046022.1	99.122	62617	465	51	11643	74195	74248	11653	0.0	1.125e+05
Utg9662	CM046022.1	99.014	11663	83	8	1	11644	11652	3	0.0	20871
Utg9662	CM046022.1	100.000	77	0	0	50505	50581	11641	11717	8.00e-32	143
Utg9662	CM046022.1	100.000	65	0	0	74131	74195	35289	35353	3.75e-25	121
Utg9662	CM046022.1	97.059	34	1	0	29673	29706	56171	56204	2.98e-06	58.4
Utg9662	CM046021.1	71.700	1159	249	53	15255	16387	24822	23717	4.58e-64	250
Utg9662	CM046021.1	78.378	111	18	5	12682	12789	30357	30464	4.95e-09	67.6
Utg9670	CM046021.1	98.235	17454	276	14	3139	20583	27863	10433	0.0	30496
Utg9670	CM046021.1	97.739	10484	165	28	20599	31049	10445	1	0.0	17981
Utg9670	CM046021.1	97.885	7327	121	9	31050	38366	37281	29979	0.0	12641
Utg9670	CM046021.1	96.994	2129	43	5	1	2122	29978	27864	0.0	3557
Utg9670	CM046022.1	71.651	1157	254	51	6180	7285	70636	69503	6.59e-65	252
Utg9670	CM046022.1	78.378	111	18	5	37880	37987	73102	73209	2.56e-09	67.6
Utg9672	CM046022.1	76.585	1546	286	53	1951499	1953024	69278	70767	0.0	780
Utg9672	CM046022.1	76.531	1551	278	59	2984959	2986484	69278	70767	0.0	769
Utg9672	CM046022.1	76.516	1550	280	59	1216522	1218047	70767	69278	0.0	769
Utg9672	CM046022.1	76.516	1550	280	58	915630	917155	70767	69278	0.0	769
Utg9672	CM046022.1	76.452	1550	281	59	2126151	2127676	69278	70767	0.0	763
Utg9672	CM046022.1	76.981	1060	212	27	912216	913257	73962	72917	1.21e-160	577
Utg9672	CM046022.1	76.887	1060	215	26	1955080	1956123	72917	73962	1.56e-159	573
